Lon Lat H AAL
-75.3083 5.7156 2511 197.1
-75.2917 5.7156 2413 224.2
-75.275 5.7156 2521 240.1
-75.2584 5.7156 2909 242.1
-75.2417 5.7156 2805 229.8
-75.225 5.7156 2357 205.3
-75.2083 5.7156 2037 174.2
-75.1917 5.7156 1917 141.3
-75.175 5.7156 1779 112.9
-75.1584 5.7156 1717 92
-75.1417 5.7156 1731 80.1
-75.125 5.7156 1393 75.9
-75.1083 5.7156 1167 75.6
-75.0917 5.7156 1245 75.9
-75.075 5.7156 1371 72.7
-75.0583 5.7156 1351 64.3
-75.0417 5.7156 1261 50.9
-75.025 5.7156 1111 33.9
-75.0084 5.7156 1075 16.7
-74.9917 5.7156 545 1.7
-74.975 5.7156 517 -8.5
-74.9583 5.7156 425 -13.6
-74.9417 5.7156 557 -14.4
-74.925 5.7156 753 -12.7
-74.9084 5.7156 577 -11.1
-74.8917 5.7156 639 -11.1
-74.875 5.7156 633 -13.8
-74.8583 5.7156 593 -19
-74.8417 5.7156 403 -25.3
-74.825 5.7156 371 -31.5
-74.8083 5.7156 357 -36.1
-74.7917 5.7156 283 -38.9
-74.775 5.7156 243 -40.2
-74.7584 5.7156 217 -41
-74.7417 5.7156 185 -42.6
-74.725 5.7156 181 -45.7
-74.7083 5.7156 181 -50.3
-74.6917 5.7156 171 -55.9
-74.675 5.7156 161 -61
-74.6584 5.7156 155 -64.5
-74.6417 5.7156 151 -65.7
-74.625 5.7156 155 -64.6
-75.9084 5.699 1337 54.6
-75.8917 5.699 1297 69.1
-75.875 5.699 1279 94.4
-75.8583 5.699 1517 127.5
-75.8417 5.699 1755 161.8
-75.825 5.699 2139 192.3
-75.8083 5.699 2141 212.8
-75.7917 5.699 2333 220.2
-75.775 5.699 2211 212.6
-75.7584 5.699 2157 191
-75.7417 5.699 2187 159
-75.725 5.699 1815 120.5
-75.7083 5.699 1375 81.4
-75.6917 5.699 1091 45
-75.675 5.699 851 15.1
-75.6584 5.699 727 -7.1
-75.6417 5.699 941 -21.6
-75.625 5.699 829 -29.1
-75.6083 5.699 933 -31
-75.5917 5.699 1011 -28.5
-75.575 5.699 1323 -22.7
-75.5583 5.699 1009 -14.2
-75.5417 5.699 711 -4
-75.525 5.699 793 7.2
-75.5084 5.699 1133 17.7
-75.4917 5.699 1227 26.5
-75.475 5.699 1685 31.9
-75.4583 5.699 1305 33.8
-75.4417 5.699 1081 32.8
-75.425 5.699 987 30.9
-75.4084 5.699 1147 31.5
-75.3917 5.699 1665 37.8
-75.375 5.699 2089 52.7
-75.3583 5.699 1879 77.3
-75.3417 5.699 2011 109.9
-75.325 5.699 2213 147.6
-75.3083 5.699 2403 184
-75.2917 5.699 2519 214.1
-75.275 5.699 2571 231.8
-75.2584 5.699 2729 234.4
-75.2417 5.699 2671 221.7
-75.225 5.699 2325 195.9
-75.2083 5.699 2025 163
-75.1917 5.699 1977 127.9
-75.175 5.699 1759 97.3
-75.1584 5.699 1451 74.2
-75.1417 5.699 1485 60.4
-75.125 5.699 1245 54.6
-75.1083 5.699 907 53.5
-75.0917 5.699 913 53.8
-75.075 5.699 1119 51.7
-75.0583 5.699 1421 45.7
-75.0417 5.699 1117 35.7
-75.025 5.699 753 22.9
-75.0084 5.699 799 10.2
-74.9917 5.699 635 -0.4
-74.975 5.699 809 -7.2
-74.9583 5.699 511 -10
-74.9417 5.699 795 -10.1
-74.925 5.699 893 -9
-74.9084 5.699 651 -9
-74.8917 5.699 601 -11.2
-74.875 5.699 559 -16.1
-74.8583 5.699 553 -23
-74.8417 5.699 379 -30.3
-74.825 5.699 413 -36.7
-74.8083 5.699 331 -41.1
-74.7917 5.699 257 -43.2
-74.775 5.699 189 -43.9
-74.7584 5.699 193 -44.3
-74.7417 5.699 173 -45.8
-74.725 5.699 181 -49.1
-74.7083 5.699 193 -53.9
-74.6917 5.699 185 -59.5
-74.675 5.699 183 -64.4
-74.6584 5.699 169 -67.5
-74.6417 5.699 155 -68.1
-74.625 5.699 155 -66.5
-75.9084 5.6824 1443 50.3
-75.8917 5.6824 1417 60
-75.875 5.6824 1271 82.8
-75.8583 5.6824 1469 115.5
-75.8417 5.6824 1755 151.1
-75.825 5.6824 2115 184.2
-75.8083 5.6824 2263 207.8
-75.7917 5.6824 2235 218.3
-75.775 5.6824 2191 213.4
-75.7584 5.6824 2277 193.8
-75.7417 5.6824 2481 162.9
-75.725 5.6824 1985 124.6
-75.7083 5.6824 1421 84.8
-75.6917 5.6824 1167 46.8
-75.675 5.6824 949 14.6
-75.6584 5.6824 755 -10.6
-75.6417 5.6824 865 -28.2
-75.625 5.6824 747 -38.8
-75.6083 5.6824 763 -43.3
-75.5917 5.6824 855 -42.7
-75.575 5.6824 1189 -37.8
-75.5583 5.6824 1099 -29.4
-75.5417 5.6824 799 -18.6
-75.525 5.6824 747 -6.6
-75.5084 5.6824 783 4.5
-75.4917 5.6824 875 13.5
-75.475 5.6824 1335 18.4
-75.4583 5.6824 1031 19.2
-75.4417 5.6824 977 16.8
-75.425 5.6824 1329 13.7
-75.4084 5.6824 1047 13.8
-75.3917 5.6824 1145 20.3
-75.375 5.6824 1305 36.5
-75.3583 5.6824 1295 63.3
-75.3417 5.6824 1621 98.6
-75.325 5.6824 2235 139.2
-75.3083 5.6824 2481 178
-75.2917 5.6824 2581 209.7
-75.275 5.6824 2807 228
-75.2584 5.6824 2851 230.1
-75.2417 5.6824 2547 215.8
-75.225 5.6824 2283 187.8
-75.2083 5.6824 2239 152.1
-75.1917 5.6824 2307 114.1
-75.175 5.6824 1947 80.6
-75.1584 5.6824 1497 54.8
-75.1417 5.6824 1179 38.7
-75.125 5.6824 1063 31.2
-75.1083 5.6824 961 29.3
-75.0917 5.6824 735 29.8
-75.075 5.6824 905 29.3
-75.0583 5.6824 1077 26
-75.0417 5.6824 1063 19.9
-75.025 5.6824 809 11.9
-75.0084 5.6824 627 4.2
-74.9917 5.6824 991 -1.8
-74.975 5.6824 805 -5
-74.9583 5.6824 627 -5.5
-74.9417 5.6824 891 -4.8
-74.925 5.6824 901 -4.5
-74.9084 5.6824 707 -6.2
-74.8917 5.6824 639 -10.8
-74.875 5.6824 573 -17.9
-74.8583 5.6824 513 -26.6
-74.8417 5.6824 361 -34.9
-74.825 5.6824 363 -41.6
-74.8083 5.6824 317 -45.6
-74.7917 5.6824 239 -47.1
-74.775 5.6824 207 -47.3
-74.7584 5.6824 195 -47.3
-74.7417 5.6824 177 -48.7
-74.725 5.6824 191 -52.2
-74.7083 5.6824 197 -57.3
-74.6917 5.6824 179 -63.2
-74.675 5.6824 183 -68.1
-74.6584 5.6824 173 -70.9
-74.6417 5.6824 159 -71.2
-74.625 5.6824 157 -69.3
-75.9084 5.6658 1609 49.2
-75.8917 5.6658 1423 53.3
-75.875 5.6658 1297 72.9
-75.8583 5.6658 1529 104.8
-75.8417 5.6658 1783 141.5
-75.825 5.6658 2263 177.2
-75.8083 5.6658 2401 204.1
-75.7917 5.6658 2373 218.2
-75.775 5.6658 2419 216.7
-75.7584 5.6658 2365 199.9
-75.7417 5.6658 2435 171
-75.725 5.6658 2023 133.7
-75.7083 5.6658 1491 93.7
-75.6917 5.6658 1147 54.5
-75.675 5.6658 879 20
-75.6584 5.6658 807 -8.3
-75.6417 5.6658 857 -29.4
-75.625 5.6658 745 -43.5
-75.6083 5.6658 751 -51
-75.5917 5.6658 849 -52.3
-75.575 5.6658 757 -48.2
-75.5583 5.6658 951 -39.3
-75.5417 5.6658 889 -27
-75.525 5.6658 923 -12.9
-75.5084 5.6658 885 0.5
-75.4917 5.6658 1007 11.2
-75.475 5.6658 899 17.3
-75.4583 5.6658 1045 18.5
-75.4417 5.6658 1189 16
-75.425 5.6658 1521 12.4
-75.4084 5.6658 1603 12.2
-75.3917 5.6658 1417 18.8
-75.375 5.6658 1151 35.6
-75.3583 5.6658 1307 63.6
-75.3417 5.6658 1735 100.3
-75.325 5.6658 2487 142.2
-75.3083 5.6658 2703 181.8
-75.2917 5.6658 2739 213.5
-75.275 5.6658 2877 230.9
-75.2584 5.6658 2887 231.2
-75.2417 5.6658 2487 214.4
-75.225 5.6658 2123 183.3
-75.2083 5.6658 1939 144.3
-75.1917 5.6658 1933 103
-75.175 5.6658 1925 66.3
-75.1584 5.6658 1595 37.6
-75.1417 5.6658 1321 19.1
-75.125 5.6658 1067 9.9
-75.1083 5.6658 931 7.2
-75.0917 5.6658 731 8
-75.075 5.6658 659 9
-75.0583 5.6658 669 8.6
-75.0417 5.6658 669 6.3
-75.025 5.6658 729 2.8
-75.0084 5.6658 1039 -0.3
-74.9917 5.6658 1163 -2
-74.975 5.6658 893 -1.9
-74.9583 5.6658 767 -0.5
-74.9417 5.6658 961 0.6
-74.925 5.6658 907 0.1
-74.9084 5.6658 733 -3.5
-74.8917 5.6658 623 -10.4
-74.875 5.6658 617 -19.6
-74.8583 5.6658 475 -29.9
-74.8417 5.6658 377 -39
-74.825 5.6658 361 -45.8
-74.8083 5.6658 311 -49.4
-74.7917 5.6658 225 -50.2
-74.775 5.6658 201 -49.7
-74.7584 5.6658 191 -49.4
-74.7417 5.6658 203 -50.8
-74.725 5.6658 201 -54.6
-74.7083 5.6658 183 -60.1
-74.6917 5.6658 171 -66.4
-74.675 5.6658 167 -71.6
-74.6584 5.6658 163 -74.5
-74.6417 5.6658 157 -74.6
-74.625 5.6658 161 -72.5
-75.9084 5.6492 1715 52.7
-75.8917 5.6492 1507 50.9
-75.875 5.6492 1397 67
-75.8583 5.6492 1603 97.7
-75.8417 5.6492 1869 135.2
-75.825 5.6492 2187 173.4
-75.8083 5.6492 2455 203.9
-75.7917 5.6492 2565 222
-75.775 5.6492 2621 224.5
-75.7584 5.6492 2609 211.4
-75.7417 5.6492 2531 185.4
-75.725 5.6492 1995 150.1
-75.7083 5.6492 1485 110.7
-75.6917 5.6492 1153 70.8
-75.675 5.6492 921 34.4
-75.6584 5.6492 875 3
-75.6417 5.6492 911 -21.8
-75.625 5.6492 827 -39.9
-75.6083 5.6492 903 -50.7
-75.5917 5.6492 757 -54.4
-75.575 5.6492 853 -51.2
-75.5583 5.6492 923 -41.8
-75.5417 5.6492 1097 -27.7
-75.525 5.6492 1037 -10.8
-75.5084 5.6492 935 5.7
-75.4917 5.6492 1343 19.4
-75.475 5.6492 1299 27.9
-75.4583 5.6492 1453 30.6
-75.4417 5.6492 1519 29
-75.425 5.6492 1493 25.8
-75.4084 5.6492 1927 25.6
-75.3917 5.6492 1905 32.2
-75.375 5.6492 1345 49.1
-75.3583 5.6492 1491 77.2
-75.3417 5.6492 1599 114
-75.325 5.6492 2303 155.6
-75.3083 5.6492 2447 194.3
-75.2917 5.6492 2409 224.5
-75.275 5.6492 2633 239.6
-75.2584 5.6492 2703 236.9
-75.2417 5.6492 2259 216.8
-75.225 5.6492 2161 182.1
-75.2083 5.6492 1941 139.8
-75.1917 5.6492 1669 95.2
-75.175 5.6492 1521 55.7
-75.1584 5.6492 1375 24.6
-75.1417 5.6492 1293 4.3
-75.125 5.6492 1235 -6.2
-75.1083 5.6492 819 -9.5
-75.0917 5.6492 691 -8.4
-75.075 5.6492 931 -6.1
-75.0583 5.6492 1077 -4.3
-75.0417 5.6492 825 -3.4
-75.025 5.6492 795 -3.3
-75.0084 5.6492 1281 -2.6
-74.9917 5.6492 1191 -1.1
-74.975 5.6492 963 1.4
-74.9583 5.6492 771 4.1
-74.9417 5.6492 927 5.2
-74.925 5.6492 957 3.6
-74.9084 5.6492 775 -1.7
-74.8917 5.6492 567 -10.6
-74.875 5.6492 521 -21.5
-74.8583 5.6492 561 -33.1
-74.8417 5.6492 427 -42.7
-74.825 5.6492 375 -49.3
-74.8083 5.6492 299 -52.3
-74.7917 5.6492 219 -52.4
-74.775 5.6492 195 -51.3
-74.7584 5.6492 221 -50.6
-74.7417 5.6492 207 -52.1
-74.725 5.6492 195 -56.2
-74.7083 5.6492 187 -62.2
-74.6917 5.6492 175 -69
