Lon Lat H AAL
-74.475 5.8316 191 -73.1
-74.4583 5.8316 209 -78.8
-74.4417 5.8316 229 -83.7
-74.425 5.8316 221 -86.9
-74.4084 5.8316 239 -87.7
-74.3917 5.8316 261 -85.7
-74.375 5.8316 277 -80.9
-74.3583 5.8316 269 -73.3
-74.3417 5.8316 271 -63.3
-74.325 5.8316 387 -51.5
-74.3083 5.8316 531 -38.9
-74.2917 5.8316 633 -26.6
-74.275 5.8316 1019 -16.6
-74.2584 5.8316 1111 -10.2
-74.2417 5.8316 793 -9.1
-74.225 5.8316 715 -13.9
-74.2083 5.8316 795 -24.4
-74.1917 5.8316 841 -39.4
-74.175 5.8316 557 -56.3
-74.1584 5.8316 505 -72.9
-74.1417 5.8316 655 -85.5
-74.125 5.8316 815 -92.4
-74.1083 5.8316 645 -92
-74.0917 5.8316 491 -84.2
-74.075 5.8316 367 -70.5
-74.0583 5.8316 533 -52.3
-74.0417 5.8316 759 -32.3
-74.025 5.8316 1303 -12
-74.0084 5.8316 1775 6.9
-73.9917 5.8316 1835 24.4
-73.975 5.8316 1897 40.3
-73.9583 5.8316 2143 55.5
-73.9417 5.8316 2187 70.3
-73.925 5.8316 2477 84.9
-73.9084 5.8316 2475 98.5
-73.8917 5.8316 2487 110.4
-73.875 5.8316 2471 119.1
-73.8583 5.8316 2339 123.8
-73.8417 5.8316 2191 124.1
-73.825 5.8316 2041 120.4
-73.8083 5.8316 1949 114.1
-73.7917 5.8316 1857 106.8
-73.775 5.8316 1925 100.7
-73.7584 5.8316 1951 97.1
-73.7417 5.8316 2155 96.8
-73.725 5.8316 1967 99.7
-73.7083 5.8316 1843 104.9
-73.6917 5.8316 2003 111.1
-73.675 5.8316 1909 116.8
-73.6584 5.8316 1925 121
-73.6417 5.8316 1983 123.3
-73.625 5.8316 2121 124
-73.6083 5.8316 1973 124
-73.5917 5.8316 1777 124.1
-73.575 5.8316 1803 125.4
-73.5583 5.8316 1961 128.4
-73.5417 5.8316 2141 132.9
-73.525 5.8316 2285 138.6
-73.5084 5.8316 2381 144.5
-73.4917 5.8316 2523 150
-73.475 5.8316 2609 154.9
-73.4583 5.8316 2531 159.2
-73.4417 5.8316 2171 163.7
-73.425 5.8316 2121 169.3
-73.4084 5.8316 2217 177
-73.3917 5.8316 2181 187.5
-73.375 5.8316 2465 200.4
-73.3583 5.8316 2943 215.4
-73.3417 5.8316 2721 230.4
-73.325 5.8316 2717 244.1
-73.3083 5.8316 2571 254.5
-73.2917 5.8316 2635 260.5
-73.275 5.8316 2861 261.6
-73.2584 5.8316 2943 258.2
-73.2417 5.8316 2859 251.7
-73.225 5.8316 2927 243.4
-73.2083 5.8316 3033 235.1
-73.1917 5.8316 3147 227.9
-73.175 5.8316 3127 222.2
-73.1584 5.8316 3157 218
-73.1417 5.8316 3151 214.3
-73.125 5.8316 3065 210.3
-73.1083 5.8316 3013 205.4
-73.0917 5.8316 2803 199.3
-73.075 5.8316 2683 193
-73.0583 5.8316 2677 187.4
-73.0417 5.8316 2593 184.4
-73.025 5.8316 2559 184.7
-73.0084 5.8316 2697 188.8
-72.9917 5.8316 2671 196.1
-72.975 5.8316 2551 204.1
-72.9583 5.8316 2801 210.8
-72.9417 5.8316 2705 213
-72.925 5.8316 2537 209.4
-74.9084 5.8151 645 -4.1
-74.8917 5.8151 555 -0.4
-74.875 5.8151 465 0.4
-74.8583 5.8151 485 -2.4
-74.8417 5.8151 469 -8.2
-74.825 5.8151 373 -15.9
-74.8083 5.8151 459 -23.2
-74.7917 5.8151 373 -28.9
-74.775 5.8151 309 -32.3
-74.7584 5.8151 209 -33.4
-74.7417 5.8151 197 -33.7
-74.725 5.8151 179 -34.3
-74.7083 5.8151 169 -36.6
-74.6917 5.8151 175 -41.1
-74.675 5.8151 169 -47.4
-74.6584 5.8151 153 -54.5
-74.6417 5.8151 151 -60.9
-74.625 5.8151 151 -65.5
-74.6083 5.8151 155 -67.4
-74.5917 5.8151 167 -66.8
-74.575 5.8151 189 -64.7
-74.5583 5.8151 215 -62.4
-74.5417 5.8151 201 -61.3
-74.525 5.8151 183 -62.3
-74.5084 5.8151 193 -65.7
-74.4917 5.8151 193 -71.1
-74.475 5.8151 207 -77.2
-74.4583 5.8151 251 -82.9
-74.4417 5.8151 263 -86.9
-74.425 5.8151 245 -88.4
-74.4084 5.8151 235 -87
-74.3917 5.8151 253 -82.7
-74.375 5.8151 265 -75.9
